,trailer_link,video_id,stats,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,kind,etag,items,pageInfo.totalResults,pageInfo.resultsPerPage
26,https://www.youtube.com/watch?v=rrq6SOwyr5s,rrq6SOwyr5s,"{'viewCount': '1803272', 'likeCount': '729', 'dislikeCount': '66', 'favoriteCount': '0', 'commentCount': '70'}",1803272,729,66,0,70,,,,,
27,https://www.youtube.com/watch?v=u2QMcYQAKIQ,u2QMcYQAKIQ,"{'viewCount': '3262550', 'likeCount': '44250', 'dislikeCount': '1367', 'favoriteCount': '0', 'commentCount': '1599'}",3262550,44250,1367,0,1599,,,,,
28,https://www.youtube.com/watch?v=TmBcSoz86vA,TmBcSoz86vA,"{'viewCount': '50219', 'likeCount': '272', 'dislikeCount': '12', 'favoriteCount': '0', 'commentCount': '17'}",50219,272,12,0,17,,,,,
29,https://www.youtube.com/watch?v=SY41jhIP_xI,SY41jhIP_xI,"{'viewCount': '1518384', 'likeCount': '13408', 'dislikeCount': '503', 'favoriteCount': '0', 'commentCount': '921'}",1518384,13408,503,0,921,,,,,
30,https://www.youtube.com/watch?v=sIoK5D3Bums,sIoK5D3Bums,"{'viewCount': '252899', 'likeCount': '1766', 'dislikeCount': '88', 'favoriteCount': '0', 'commentCount': '102'}",252899,1766,88,0,102,,,,,
31,https://www.youtube.com/watch?v=aWJX8S5VFYg,aWJX8S5VFYg,"{'viewCount': '7683', 'likeCount': '96', 'dislikeCount': '3', 'favoriteCount': '0', 'commentCount': '18'}",7683,96,3,0,18,,,,,
32,https://www.youtube.com/playlist?list=PLJK7UAoXJAjoYFd10BeTUEW-JeKjeecaY,PLJK7UAoXJAjoYFd10BeTUEW-JeKjeecaY,"{'kind': 'youtube#videoListResponse', 'etag': 'YIUPVpqNjppyCWOZfL-19bLb7uk', 'items': [], 'pageInfo': {'totalResults': 0, 'resultsPerPage': 0}}",,,,,,youtube#videoListResponse,YIUPVpqNjppyCWOZfL-19bLb7uk,[],0.0,0.0
33,https://www.youtube.com/watch?v=LFJuojgVSAk,LFJuojgVSAk,"{'viewCount': '61993', 'likeCount': '134', 'dislikeCount': '8', 'favoriteCount': '0', 'commentCount': '8'}",61993,134,8,0,8,,,,,
34,https://www.youtube.com/watch?v=FhyaYaK9lC4,FhyaYaK9lC4,"{'viewCount': '355240', 'likeCount': '1709', 'dislikeCount': '87', 'favoriteCount': '0', 'commentCount': '207'}",355240,1709,87,0,207,,,,,
35,https://www.youtube.com/watch?v=q9Evo8pJTV0,q9Evo8pJTV0,"{'viewCount': '2390231', 'likeCount': '10032', 'dislikeCount': '857', 'favoriteCount': '0', 'commentCount': '476'}",2390231,10032,857,0,476,,,,,
36,https://www.youtube.com/watch?v=PTaNF7k85gk,PTaNF7k85gk,"{'kind': 'youtube#videoListResponse', 'etag': 'YIUPVpqNjppyCWOZfL-19bLb7uk', 'items': [], 'pageInfo': {'totalResults': 0, 'resultsPerPage': 0}}",,,,,,youtube#videoListResponse,YIUPVpqNjppyCWOZfL-19bLb7uk,[],0.0,0.0
37,https://www.youtube.com/watch?v=gFJS8M2SjWo,gFJS8M2SjWo,"{'viewCount': '150309', 'likeCount': '457', 'dislikeCount': '13', 'favoriteCount': '0', 'commentCount': '27'}",150309,457,13,0,27,,,,,
38,https://www.youtube.com/watch?v=H40fV_Y08W4,H40fV_Y08W4,"{'viewCount': '3825', 'likeCount': '6', 'dislikeCount': '0', 'favoriteCount': '0', 'commentCount': '1'}",3825,6,0,0,1,,,,,
39,https://www.youtube.com/watch?v=BdjlLq1tqmU,BdjlLq1tqmU,"{'viewCount': '117650', 'likeCount': '268', 'dislikeCount': '7', 'favoriteCount': '0', 'commentCount': '57'}",117650,268,7,0,57,,,,,
40,https://www.youtube.com/watch?v=yfKZFJSYMK8,yfKZFJSYMK8,"{'viewCount': '3388', 'likeCount': '25', 'dislikeCount': '1', 'favoriteCount': '0', 'commentCount': '1'}",3388,25,1,0,1,,,,,
41,https://www.youtube.com/watch?v=3M45iQnJUm0,3M45iQnJUm0,"{'viewCount': '58586', 'likeCount': '219', 'dislikeCount': '2', 'favoriteCount': '0', 'commentCount': '8'}",58586,219,2,0,8,,,,,
42,https://www.youtube.com/watch?v=hjt3J9mM7aE,hjt3J9mM7aE,"{'viewCount': '126453', 'likeCount': '476', 'dislikeCount': '12', 'favoriteCount': '0', 'commentCount': '29'}",126453,476,12,0,29,,,,,
43,https://www.youtube.com/watch?v=qNR4ER9tC6A,qNR4ER9tC6A,"{'viewCount': '624005', 'likeCount': '783', 'dislikeCount': '56', 'favoriteCount': '0'}",624005,783,56,0,,,,,,
44,https://www.youtube.com/watch?v=MzCoEtCo2rg,MzCoEtCo2rg,"{'viewCount': '1305403', 'likeCount': '14312', 'dislikeCount': '1154', 'favoriteCount': '0', 'commentCount': '1334'}",1305403,14312,1154,0,1334,,,,,
